"feature","method","group1","group2","p_values","adj_method","p_adjust","description"
"K00055","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0481388327205904,"BH",0.0852089747483056,"E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]"
"K00057","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000173121221673781,"BH",0.000602881646134473,"gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]"
"K00058","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0279401964610136,"BH",0.0532401903853628,"serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]"
"K00059","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000289538612643264,"BH",0.000951579786552572,"fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"
"K00060","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",5.15948746736696e-05,"BH",0.000213371181651062,"tdh; threonine 3-dehydrogenase [EC:1.1.1.103]"
"K00064","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",4.54115876200711e-06,"BH",2.81391679392941e-05,"E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]"
"K00065","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0081969812563973,"BH",0.0183991344175774,"kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]"
"K00066","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.83170141654325e-06,"BH",1.44673724823682e-05,"algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]"
"K00067","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",8.30512867406072e-05,"BH",0.000323037608056211,"rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]"
"K00068","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",2.6533366329551e-06,"BH",1.87088284918835e-05,"srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]"
"K00073","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.791723003586609,"BH",0.810454994387251,"allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]"
"K00074","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0248398792378022,"BH",0.0481376086377367,"paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]"
"K00075","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",4.61333173427706e-06,"BH",2.84627578840415e-05,"murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]"
"K00076","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00221217270398895,"BH",0.00570980275796432,"hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
"K00077","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.88811799985704e-06,"BH",2.52533725862449e-05,"panE, apbA; 2-dehydropantoate 2-reductase [EC:1.1.1.169]"
"K00082","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.339312900809058,"BH",0.425058271931596,"ribD2; 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]"
"K00086","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.81548244265708e-05,"BH",8.59760164738746e-05,"dhaT; 1,3-propanediol dehydrogenase [EC:1.1.1.202]"
"K00087","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.460774205840978,"BH",0.531584997736686,"ygeS, xdhA; xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]"
"K00088","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.08543060543362e-05,"BH",5.77656957473277e-05,"IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]"
"K00090","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.459917047462473,"BH",0.53094535784066,"ghrB; glyoxylate/hydroxypyruvate/2-ketogluconate reductase [EC:1.1.1.79 1.1.1.81 1.1.1.215]"
"K00091","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.14199177105123e-06,"BH",1.11843205543069e-05,"E1.1.1.219; dihydroflavonol-4-reductase [EC:1.1.1.219]"
"K00094","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.794308709555878,"BH",0.812554334234789,"E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]"
"K00096","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.13984280820295e-05,"BH",6.02393926314292e-05,"araM, egsA; glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]"
"K00097","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000307256029704025,"BH",0.00100281796087692,"pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]"
"K00098","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.61783658755317e-06,"BH",1.323702084083e-05,"idnD; L-idonate 5-dehydrogenase [EC:1.1.1.264]"
"K00099","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",5.24962098900326e-05,"BH",0.000216967406776459,"dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase [EC:1.1.1.267]"
"K00100","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.034071354566938,"BH",0.0633172396480511,"bdhAB; butanol dehydrogenase [EC:1.1.1.-]"
"K00101","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0257029654896461,"BH",0.0495712997847993,"lldD; L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]"
"K00102","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000165652679170845,"BH",0.000581315048671404,"LDHD, dld; D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]"
"K00103","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000311400223605264,"BH",0.00101440644677893,"GULO; L-gulonolactone oxidase [EC:1.1.3.8]"
"K00104","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000756186144676693,"BH",0.00220016534795058,"glcD; glycolate oxidase [EC:1.1.3.15]"
"K00105","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00146868351794745,"BH",0.00400555377166916,"E1.1.3.21; alpha-glycerophosphate oxidase [EC:1.1.3.21]"
"K00108","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0240592916690931,"BH",0.0468506816265263,"betA, CHDH; choline dehydrogenase [EC:1.1.99.1]"
"K00109","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000240238745666071,"BH",0.0008056276994718,"L2HGDH; 2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]"
"K00111","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0420840779382942,"BH",0.076007069164116,"glpA, glpD; glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]"
"K00112","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00225214669278822,"BH",0.00576401152822923,"glpB; glycerol-3-phosphate dehydrogenase subunit B [EC:1.1.5.3]"
"K00113","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.321883582625218,"BH",0.409109634810075,"glpC; glycerol-3-phosphate dehydrogenase subunit C"
"K00114","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00167123138733537,"BH",0.00449519487067662,"exaA; alcohol dehydrogenase (cytochrome c) [EC:1.1.2.8]"
"K00116","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000429964653146652,"BH",0.00133359272636593,"mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]"
"K00117","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0490838293304282,"BH",0.0865455396705718,"gcd; quinoprotein glucose dehydrogenase [EC:1.1.5.2]"
"K00118","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.47462951660202,"BH",0.543797431574861,"gfo; glucose-fructose oxidoreductase [EC:1.1.99.28]"
"K00121","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.798725716152211,"BH",0.816217803365949,"frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"
"K00122","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0190942786230795,"BH",0.0382895837658532,"FDH; formate dehydrogenase [EC:1.17.1.9]"
"K00123","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.365012567925849,"BH",0.448943129604373,"fdoG, fdhF, fdwA; formate dehydrogenase major subunit [EC:1.17.1.9]"
"K00124","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00234572544876667,"BH",0.00595889229571497,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit"
"K00125","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.301421280509312,"BH",0.389327515080144,"fdhB; formate dehydrogenase (coenzyme F420) beta subunit [EC:1.17.98.3 1.8.98.6]"
"K00126","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.48573057032279,"BH",0.553916786842371,"fdsD; formate dehydrogenase subunit delta [EC:1.17.1.9]"
"K00127","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00624765997803345,"BH",0.0144409141537909,"fdoI, fdsG; formate dehydrogenase subunit gamma"
"K00128","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000265830562585847,"BH",0.000881502656239073,"ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"
"K00130","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0175743019349819,"BH",0.0355700749156288,"betB, gbsA; betaine-aldehyde dehydrogenase [EC:1.2.1.8]"
"K00131","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",8.38289078107332e-07,"BH",1.05491763275985e-05,"gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]"
"K00132","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.242444872988375,"BH",0.324652919049664,"E1.2.1.10; acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]"
"K00133","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000551404189022739,"BH",0.00166016253519465,"asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]"
"K00134","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000362585628971785,"BH",0.00115719809246134,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]"
"K00135","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.971188043964309,"BH",0.972527349912181,"gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]"
"K00137","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0948323356750102,"BH",0.149492412469588,"prr; aminobutyraldehyde dehydrogenase [EC:1.2.1.19]"
"K00138","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.371778418483534,"BH",0.454908724315448,"aldB; aldehyde dehydrogenase [EC:1.2.1.-]"
"K00140","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.527107516059337,"BH",0.587719292086385,"mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]"
"K00141","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00862280622270832,"BH",0.0192412284440784,"xylC; benzaldehyde dehydrogenase (NAD) [EC:1.2.1.28]"
"K00145","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.19636663559042e-05,"BH",0.000139440729552623,"argC; N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]"
"K00146","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",7.34139198133376e-06,"BH",4.17345160785011e-05,"feaB; phenylacetaldehyde dehydrogenase [EC:1.2.1.39]"
"K00147","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000150246069199097,"BH",0.000535496417645999,"proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]"
"K00148","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.810286911722098,"BH",0.826179629880269,"fdhA; glutathione-independent formaldehyde dehydrogenase [EC:1.2.1.46]"
"K00150","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0597517647749824,"BH",0.102423035105762,"gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]"
"K00151","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.656069962146141,"BH",0.69409491004117,"hpaE, hpcC; 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase [EC:1.2.1.60]"
"K00153","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.433868193581295,"BH",0.508560180267786,"E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase [EC:1.1.1.306]"
"K00154","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0075105732865663,"BH",0.0170402519040714,"E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]"
"K00156","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0255543059857394,"BH",0.049347241728394,"poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]"
"K00158","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00675019888070757,"BH",0.0154872829496617,"E1.2.3.3, poxL; pyruvate oxidase [EC:1.2.3.3]"
"K00161","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.154514753928039,"BH",0.225287610010948,"PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]"
"K00162","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.081884036887204,"BH",0.1331967343631,"PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]"
"K00163","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.204009933574907,"BH",0.283227438244936,"aceE; pyruvate dehydrogenase E1 component [EC:1.2.4.1]"
"K00164","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.649344932330945,"BH",0.688258307995091,"OGDH, sucA; 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2]"
"K00166","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0503593319613684,"BH",0.0885091639768388,"BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]"
"K00167","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0638763623427193,"BH",0.108554086507105,"BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]"
"K00169","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.55929703463388e-05,"BH",7.62744510107852e-05,"porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]"
"K00170","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.56111772651627e-05,"BH",7.63180139960169e-05,"porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]"
"K00171","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.31882734817176e-05,"BH",0.000144184961881806,"porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1]"
"K00172","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.5613040165803e-05,"BH",7.63180139960169e-05,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]"
"K00174","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.23596665450684e-06,"BH",1.14383822415107e-05,"korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]"
"K00175","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",1.2354521841256e-06,"BH",1.14383822415107e-05,"korB, oorB, oforB; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]"
"K00176","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.000434134698542597,"BH",0.00134591600872435,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]"
"K00177","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0112235323779247,"BH",0.024283610487575,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]"
"K00179","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.473484540535e-06,"BH",2.31317489713563e-05,"iorA; indolepyruvate ferredoxin oxidoreductase, alpha subunit [EC:1.2.7.8]"
"K00180","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",3.48243339733337e-06,"BH",2.31687734347162e-05,"iorB; indolepyruvate ferredoxin oxidoreductase, beta subunit [EC:1.2.7.8]"
"K00184","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.040638114404811,"BH",0.0739712459424865,"dmsB; dimethyl sulfoxide reductase iron-sulfur subunit"
"K00185","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.259609958457498,"BH",0.343733038159104,"dmsC; dimethyl sulfoxide reductase membrane subunit"
"K00186","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.34021294417279,"BH",0.425717680096137,"vorA; 2-oxoisovalerate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.7]"
"K00187","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00169730418868268,"BH",0.00455636027246604,"vorB; 2-oxoisovalerate ferredoxin oxidoreductase beta subunit [EC:1.2.7.7]"
"K00188","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.00167035262171392,"BH",0.00449371527825122,"vorD; 2-oxoisovalerate ferredoxin oxidoreductase delta subunit [EC:1.2.7.7]"
"K00192","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.551312324997845,"BH",0.606206816358772,"cdhA; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]"
"K00193","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.540804828594013,"BH",0.598113866408133,"cdhC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]"
"K00194","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0461096078135832,"BH",0.0821703021412031,"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"
"K00195","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.555255908974681,"BH",0.608875424085807,"cdhB; anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon"
"K00196","ALDEx2_Kruskal-Wallace test","durapore","polycarbonate",0.0805839281313238,"BH",0.131535752795064,"cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit"
