Phylum,Order,Family,Genus,Species,
Verrucomicrobiota,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,uncultured organism,
Verrucomicrobiota,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,uncultured Roseibacillus sp.,
Proteobacteria,Oceanospirillales,Saccharospirillaceae,Oleispira,Oleispira Genus,
Proteobacteria,Oceanospirillales,Saccharospirillaceae,Saccharospirillaceae Family,Saccharospirillaceae Family,
Proteobacteria,Oceanospirillales,Saccharospirillaceae,uncultured,uncultured Oceanospirillales bacterium,
Bacteroidota,Chitinophagales,Saprospiraceae,Lewinella,Lewinella Genus,
Bacteroidota,Chitinophagales,Saprospiraceae,Aureispira,Saprospira sp. CNJ640,
Bacteroidota,Chitinophagales,Saprospiraceae,Saprospiraceae Family,Saprospiraceae Family,
Bacteroidota,Chitinophagales,Saprospiraceae,Aureispira,uncultured marine bacterium,
Bacteroidota,Chitinophagales,Saprospiraceae,Lewinella,uncultured marine bacterium,
Proteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae Family,Sphingomonadaceae Family,
Proteobacteria,Thiomicrospirales,Thioglobaceae,SUP05 cluster,SUP05 cluster Genus,
Proteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae Family,Thioglobaceae Family,
Proteobacteria,Vibrionales,Vibrionaceae,Vibrionaceae Family,Vibrionaceae Family,
Thermoplasmatota,Marine Group II,hydrothermal vent metagenome,hydrothermal vent metagenome Family,hydrothermal vent metagenome Family,
Proteobacteria,SAR86 clade,hydrothermal vent metagenome,hydrothermal vent metagenome Family,hydrothermal vent metagenome Family,
Proteobacteria,HOC36,uncultured bacterium HF0770_27E13,uncultured bacterium HF0770_27E13 Family,uncultured bacterium HF0770_27E13 Family,
Thermoplasmatota,Marine Group II,uncultured marine group II euryarchaeote DeepAnt-JyKC7,uncultured marine group II euryarchaeote DeepAnt-JyKC7 Family,uncultured marine group II euryarchaeote DeepAnt-JyKC7 Family,
Patescibacteria,Candidatus Kaiserbacteria,uncultured prokaryote,uncultured prokaryote Family,uncultured prokaryote Family,
