,Kingdom,Phylum,Class,Order,Family,Genus,Species
Seq36,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured crenarchaeote ODPB-A3,NA
Seq37,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq38,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq39,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,marine gamma proteobacterium HTCC2188
Seq40,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,NA,NA
Seq41,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,bacterium symbiont of Idas sp.
Seq42,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group III,NA,NA,NA
Seq43,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,NA
Seq44,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq45,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,marine metagenome
Seq46,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,NA
Seq47,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,NA,NA,NA
Seq48,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,hydrothermal vent metagenome,NA,NA
Seq50,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured euryarchaeote,NA
Seq51,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote DeepAnt-JyKC7,NA,NA
Seq52,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,seawater metagenome,NA,NA
Seq53,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Phaeocystis antarctica,NA,NA
Seq54,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,uncultured bacterium ARCTIC16_F_12
Seq55,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,seawater metagenome
Seq57,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq58,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
Seq59,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured marine thaumarchaeote KM3_69_H10,NA
Seq60,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq61,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,NA
Seq62,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,NA
Seq66,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,uncultured proteobacterium
Seq67,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq69,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,hydrothermal vent metagenome,NA,NA
Seq70,Bacteria,NA,NA,NA,NA,NA,NA
Seq71,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,NA
Seq72,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq73,Bacteria,NB1-j,hydrothermal vent metagenome,NA,NA,NA,NA
Seq74,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq75,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine archaeon DCM3921,NA,NA
Seq76,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq77,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq78,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,uncultured,gamma proteobacterium NEP2
Seq79,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq80,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,NA,NA,NA
Seq81,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq82,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq83,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,NA
Seq84,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq85,Bacteria,Planctomycetota,OM190,hydrothermal vent metagenome,NA,NA,NA
Seq86,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq87,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq88,Bacteria,NB1-j,hydrothermal vent metagenome,NA,NA,NA,NA
Seq89,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium 413004-H17,NA,NA,NA,NA
Seq90,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,uncultured organism
Seq91,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq92,Bacteria,Planctomycetota,OM190,NA,NA,NA,NA
Seq93,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured Oceanospirillales bacterium,NA,NA
Seq94,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,JL-ETNP-F27,uncultured deep-sea bacterium
Seq95,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal vent metagenome
Seq96,Bacteria,Marinimicrobia (SAR406 clade),uncultured delta proteobacterium,NA,NA,NA,NA
Seq97,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
Seq98,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,NA,NA
Seq99,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
Seq100,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,NA,NA,NA
Seq101,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,NA
Seq102,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
Seq103,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq104,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43 clade,NA
Seq105,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured crenarchaeote ODPB-A3,NA
Seq106,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq107,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,NA
Seq108,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
Seq109,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,NA
Seq110,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4 marine group,hydrothermal vent metagenome
Seq111,Bacteria,NA,NA,NA,NA,NA,NA
Seq112,Bacteria,Planctomycetota,OM190,uncultured Crater Lake bacterium CL500-15,NA,NA,NA
Seq113,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq114,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq115,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq116,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq117,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,uncultured deep-sea archaeon,NA
Seq118,Bacteria,NA,NA,NA,NA,NA,NA
Seq119,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq120,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq121,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq122,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,NA
Seq123,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq124,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,hydrothermal vent metagenome,NA
Seq125,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,NA
Seq126,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium AD261-B2,NA,NA,NA,NA
Seq127,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq128,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,NA,NA
Seq129,Bacteria,SAR324 clade(Marine group B),NA,NA,NA,NA,NA
Seq130,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,uncultured bacterium
Seq131,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
Seq132,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured gamma proteobacterium EB080_L93H08
Seq133,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq134,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,NA,NA
Seq135,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq136,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,hydrothermal vent metagenome,NA,NA
Seq137,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,uncultured,uncultured Oceanospirillales bacterium
Seq138,Bacteria,NA,NA,NA,NA,NA,NA
Seq139,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq140,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq141,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq142,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,uncultured marine bacterium
Seq143,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92 clade,NA
Seq144,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,uncultured CFB groupbacterium NAC60-3
Seq145,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq147,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq148,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,NA,NA
Seq149,Bacteria,NA,NA,NA,NA,NA,NA
Seq150,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium 413004-H17,NA,NA,NA,NA
Seq151,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq152,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Proboscia inermis,NA,NA
Seq153,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,Oleispira,NA
Seq154,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,NA,NA
Seq155,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured bacterium HF0500_40D21,NA
Seq156,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,uncultured bacterium KM3-47-A6,NA
Seq157,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,uncultured marine bacterium 440,NA
Seq158,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,NA
Seq159,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,hydrothermal vent metagenome,NA,NA
Seq160,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Lewinella,uncultured marine bacterium
Seq161,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,Nitrospina sp. LS_NOB
Seq162,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
Seq163,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal vent metagenome
Seq164,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,NA
Seq165,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,NA
Seq166,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,uncultured organism,NA,NA
Seq167,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,uncultured Cytophagales bacterium
Seq168,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq169,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,uncultured bacterium HF0770_27E13,NA,NA
Seq170,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq171,Bacteria,Verrucomicrobiota,Lentisphaeria,Lentisphaerales,Lentisphaeraceae,Lentisphaera,uncultured Lentisphaerae bacterium
Seq172,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq173,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Salinirepens,uncultured marine bacterium
Seq174,Bacteria,NA,NA,NA,NA,NA,NA
Seq175,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,uncultured Roseibacillus sp.
Seq176,Bacteria,NA,NA,NA,NA,NA,NA
Seq177,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq178,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA160-I06,NA,NA,NA,NA
Seq179,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,uncultured crenarchaeote DeepAnt-EC39,NA
Seq180,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,NA
Seq181,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,marine metagenome,NA
Seq182,Bacteria,Planctomycetota,Pla3 lineage,hydrothermal vent metagenome,NA,NA,NA
Seq183,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,NA,NA,NA
Seq184,Bacteria,NA,NA,NA,NA,NA,NA
Seq185,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,uncultured marine microorganism
Seq186,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,Flavobacteriaceae bacterium 14III/A01/012
Seq187,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,marine metagenome
Seq188,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Profundimonas,NA
Seq189,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12 marine group,unidentified marine bacterioplankton,NA
Seq190,Bacteria,Bacteroidota,Bacteroidia,NA,NA,NA,NA
Seq191,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq192,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
Seq193,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,alpha proteobacterium SCGC AAA015-N04,NA
Seq194,Bacteria,Planctomycetota,Pla3 lineage,hydrothermal vent metagenome,NA,NA,NA
Seq195,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,hydrothermal vent metagenome
Seq196,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NA,NA,NA
Seq197,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,metagenome,NA,NA
Seq198,Bacteria,Marinimicrobia (SAR406 clade),NA,NA,NA,NA,NA
Seq199,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,hydrothermal vent metagenome,NA,NA
Seq200,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq201,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal vent metagenome
Seq202,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,NA
Seq203,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA,NA
Seq204,Bacteria,NA,NA,NA,NA,NA,NA
Seq205,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Moritellaceae,Moritella,NA
Seq206,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq207,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Saccharospirillaceae,NA,NA
Seq208,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq209,Archaea,Thermoplasmatota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote HF10_15G04,NA,NA
Seq210,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,marine metagenome
Seq211,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq212,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq213,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,NA
Seq214,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chaetoceros sp. C134,NA,NA
Seq215,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,NA,NA
Seq216,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq217,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,NA,NA
Seq218,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq219,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium MB13C05,NA,NA,NA,NA
Seq220,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,NA,NA
Seq221,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,uncultured bacterium ARCTIC09_,D_03
Seq222,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,hydrothermal vent metagenome
Seq223,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA160-I06,NA,NA,NA,NA
Seq224,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,NA
Seq225,Bacteria,NA,NA,NA,NA,NA,NA
Seq226,Bacteria,NA,NA,NA,NA,NA,NA
Seq227,Bacteria,SAR324 clade(Marine group B),uncultured bacterium HF0500_03A04,NA,NA,NA,NA
Seq228,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,NA,NA
Seq229,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq230,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4 marine group,NA,NA,NA
Seq231,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Paraglaciecola,NA
Seq232,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,NA
Seq233,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq234,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,marine gamma proteobacterium HTCC2178,NA,NA
Seq235,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,uncultured Planctomyces clone 7F15
Seq236,Bacteria,NA,NA,NA,NA,NA,NA
Seq237,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,NA,NA
Seq238,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,NA
Seq239,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,NA
Seq240,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,NA,NA
Seq241,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9 marine group,NA,NA
Seq242,Bacteria,Marinimicrobia (SAR406 clade),Marinimicrobia bacterium SCGC AAA003-E22,NA,NA,NA,NA
Seq243,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,NA,NA,NA
Seq244,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,NA,NA
Seq246,Bacteria,NA,NA,NA,NA,NA,NA
Seq247,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,NA,NA,NA
Seq248,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,NA
Seq249,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,NA
Seq250,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,NA,NA
Seq251,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA,NA
Seq252,Bacteria,NA,NA,NA,NA,NA,NA
Seq253,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Aureispira,uncultured marine bacterium
Seq254,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA,NA
Seq255,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,uncultured Verrucomicrobiales bacterium HF0130_14P10
Seq256,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,NA,NA,NA
Seq257,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,hydrothermal vent metagenome,NA
Seq258,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
Seq259,Bacteria,NA,NA,NA,NA,NA,NA
Seq260,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured Chloroflexi bacterium HF4000_28F02,NA,NA
Seq261,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,hydrothermal vent metagenome,NA
Seq262,Bacteria,NA,NA,NA,NA,NA,NA
Seq263,Bacteria,Marinimicrobia (SAR406 clade),unidentified marine bacterioplankton,NA,NA,NA,NA
Seq264,Bacteria,Proteobacteria,NA,NA,NA,NA,NA
Seq265,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,unidentified marine bacterioplankton,NA
Seq266,Bacteria,NA,NA,NA,NA,NA,NA
